ID,SHOPCODEAPPROVERSID,SHOPCODEPRIMARYAPPROVER,SHOPCODESECONDARYAPPROVER,SHOPCODETHIRDAPPROVER,MPNID,COUNTRYID,ADDDATE,ADDBY,MODDATE,MODBY,PRIMARYAPPROVERLEAVE,PRIMARYAPPROVERLEAVEFROM,PRIMARYAPPROVERLEAVETO,KITAPPROVER,CAT
5517,5959,314835420,314835420,,6103,,24-MAY-16 11:58:33,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5518,5961,314835420,314835420,,6124,,24-MAY-16 11:58:34,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5519,5963,4023972,314835420,,6396,,04-DEC-12 10:01:04,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5520,5964,4023972,314835420,,5918,,04-DEC-12 10:01:04,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5521,5966,4023972,314835420,,6076,,04-DEC-12 10:01:04,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5522,5968,4023972,314835420,,6329,,04-DEC-12 10:01:04,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5523,6245,3142369,,,6554,,18-JUN-15 00:24:09,1002771,14-OCT-13 18:27:11,1002771,,,,,B
5524,6246,3142369,,,6555,,18-JUN-15 00:24:11,1002771,14-OCT-13 18:27:11,1002771,,,,,B
5525,6248,6130803,,,6551,,19-DEC-12 03:02:52,1002771,,,,,,,B
5526,6250,6130803,,,6552,,20-DEC-12 05:32:33,1002771,,,,,,,B
5527,6253,6130803,,,6553,,02-JAN-13 04:21:46,1002771,,,,,,,B
5528,6255,6130803,,,6592,,07-JAN-13 02:38:05,1002771,,,,,,,B
5529,6260,6130803,,,6603,,15-JAN-13 00:24:19,1002771,,,,,,,B
5530,6281,6130803,,,6635,,01-MAR-13 02:53:15,1002771,,,,,,,B
5531,6288,3142369,,,6734,,18-JUN-15 00:24:09,1002771,14-OCT-13 18:27:11,1002771,,,,,B
5532,6292,54808266,,,6528,,04-NOV-16 14:53:06,1002771,,,,,,,B
5533,6299,532595739,,,6735,,08-NOV-16 00:53:56,1002771,,,,,,,B
5534,6304,54808266,,,3145,,16-APR-13 07:33:00,1002771,,,,,,,B
5535,6305,54808266,,,2962,,16-APR-13 07:33:00,1002771,,,,,,,B
5536,6306,54808266,,,3156,,16-APR-13 07:33:00,1002771,,,,,,,B
5537,6307,54808266,,,3184,,16-APR-13 07:33:00,1002771,,,,,,,B
5538,6308,54808266,,,3177,,16-APR-13 07:33:00,1002771,,,,,,,B
5539,6309,54808266,,,3194,,16-APR-13 07:33:00,1002771,,,,,,,B
5540,6310,6130803,,,6543,,16-APR-13 07:33:00,1002771,,,,,,,B
5541,6311,6130803,,,6718,,16-APR-13 07:33:00,1002771,,,,,,,B
5542,6312,6133942,,,6608,,28-JUL-16 02:24:58,1002771,,,,,,,B
5543,6313,6133942,,,6749,,28-JUL-16 02:24:58,1002771,,,,,,,B
5544,6314,6133942,6133942,,6752,,27-AUG-15 00:52:29,1002771,21-JUL-15 10:12:12,6136942,1,22-JUL-15 00:00:00,14-AUG-18 00:00:00,,B
5545,6317,6133942,6133942,,6759,,27-AUG-15 00:52:28,1002771,21-JUL-15 10:12:12,6136942,1,22-JUL-15 00:00:00,14-AUG-18 00:00:00,,B
5546,6319,6136942,6133942,,6765,,26-JUN-15 05:45:48,1002771,21-JUL-15 10:12:12,6136942,1,22-JUL-15 00:00:00,14-AUG-18 00:00:00,,B
5547,6322,6133942,6133942,,6748,,27-AUG-15 00:52:29,1002771,21-JUL-15 10:12:12,6136942,1,22-JUL-15 00:00:00,14-AUG-18 00:00:00,,B
5548,6324,6133942,6133942,,6768,,27-AUG-15 00:52:29,1002771,21-JUL-15 10:12:12,6136942,1,22-JUL-15 00:00:00,14-AUG-18 00:00:00,,B
5549,6327,6133942,6133942,,6755,,27-AUG-15 00:52:29,1002771,21-JUL-15 10:12:12,6136942,1,22-JUL-15 00:00:00,14-AUG-18 00:00:00,,B
5550,6330,478745852,230698036,,6654,,05-DEC-16 05:48:35,1002771,15-AUG-16 18:28:17,1002771,1,15-AUG-16 00:00:00,20-AUG-16 00:00:00,,B
5551,6331,6130803,,,6719,,16-APR-13 07:33:00,1002771,,,,,,,B
5552,6332,6130803,,,6598,,16-APR-13 07:33:00,1002771,,,,,,,B
5553,6333,79352093,,,6558,,16-APR-13 07:33:00,1002771,,,,,,,B
5554,6334,6130803,,,6794,,16-APR-13 07:33:00,1002771,,,,,,,B
5555,6335,478745852,230698036,,6613,,05-DEC-16 05:48:35,1002771,15-AUG-16 18:28:17,1002771,1,15-AUG-16 00:00:00,20-AUG-16 00:00:00,,B
5556,6337,6130803,,,6589,,16-APR-13 07:33:00,1002771,,,,,,,B
5557,6338,6130803,,,6590,,16-APR-13 07:33:00,1002771,,,,,,,B
5558,6339,6130803,,,6588,,16-APR-13 07:33:00,1002771,,,,,,,B
5559,6340,303487800,6133942,,6717,,21-MAY-15 03:39:23,1002771,09-JUL-13 16:37:46,1002771,1,10-JUL-13 00:00:00,19-JUL-13 00:00:00,,B
5560,6341,6130803,,,6569,,16-APR-13 07:33:00,1002771,,,,,,,B
5561,6342,6130803,,,6576,,16-APR-13 07:33:00,1002771,,,,,,,B
5562,6343,302676119,,,6731,,07-JUL-15 04:49:56,1002771,13-AUG-14 18:10:08,1002771,,,,,B
5563,6344,6130803,,,6591,,16-APR-13 07:33:00,1002771,,,,,,,B
5564,6345,6130803,,,6563,,16-APR-13 07:33:00,1002771,,,,,,,B
5565,6346,6130803,,,6578,,16-APR-13 07:33:00,1002771,,,,,,,B
5566,6347,6130803,,,6577,,16-APR-13 07:33:00,1002771,,,,,,,B
5567,6348,6130803,,,6565,,16-APR-13 07:33:00,1002771,,,,,,,B
5568,6349,6130803,,,6566,,16-APR-13 07:33:01,1002771,,,,,,,B
5569,6350,6130803,,,6570,,16-APR-13 07:33:01,1002771,,,,,,,B
5570,6351,6130803,,,6580,,16-APR-13 07:33:01,1002771,,,,,,,B
5571,6352,6130803,,,6814,,16-APR-13 07:33:01,1002771,,,,,,,B
5572,6353,6130803,,,6587,,16-APR-13 07:33:01,1002771,,,,,,,B
5573,6354,302676119,,,6610,,07-JUL-15 04:49:56,1002771,13-AUG-14 18:10:08,1002771,,,,,B
5574,6355,6130803,,,6549,,16-APR-13 07:33:01,1002771,,,,,,,B
5575,6356,478745852,230698036,,6562,,05-DEC-16 05:48:36,1002771,15-AUG-16 18:28:17,1002771,1,15-AUG-16 00:00:00,20-AUG-16 00:00:00,,B
5576,6357,4208792,254683473,,6722,,20-DEC-16 07:04:55,1002771,14-OCT-16 08:50:49,128135482,1,17-OCT-16 00:00:00,29-OCT-16 00:00:00,,B
5577,6358,6130803,,,6815,,16-APR-13 07:33:01,1002771,,,,,,,B
5578,6359,6130803,,,6568,,16-APR-13 07:33:01,1002771,,,,,,,B
5579,6360,6130803,,,6574,,16-APR-13 07:33:01,1002771,,,,,,,B
